scenario_id,scenario_name_cn,dimension,block_id,block_name_cn,block_weight,rationale_cn,status,version
EW,块等权,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,0.333333,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,0.333333,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,0.333334,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Grow,G1_EXPANSION,扩张动量,0.333333,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Grow,G2_FUNDING_GAP,扩张中的资金缺口,0.333333,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Grow,G3_CAPACITY,财务承载能力,0.333334,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Defend,F1_CURRENT_STRESS,当前财务压力,0.333333,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Defend,F2_DETERIORATION,财务恶化动量,0.333333,最少主观假设的对照方案,active,FIN_BASE_V1.0
EW,块等权,Defend,F3_TRAJECTORY,风险轨迹,0.333334,最少主观假设的对照方案,active,FIN_BASE_V1.0
BASE,理论基准,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,0.50,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,0.30,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,0.20,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Grow,G1_EXPANSION,扩张动量,0.60,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Grow,G2_FUNDING_GAP,扩张中的资金缺口,0.25,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Grow,G3_CAPACITY,财务承载能力,0.15,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Defend,F1_CURRENT_STRESS,当前财务压力,0.50,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Defend,F2_DETERIORATION,财务恶化动量,0.35,当前方法论基准,active,FIN_BASE_V1.0
BASE,理论基准,Defend,F3_TRAJECTORY,风险轨迹,0.15,当前方法论基准,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,0.65,检验当前规模结构主导的排名,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,0.25,检验当前规模结构主导的排名,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,0.10,检验当前规模结构主导的排名,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Grow,G1_EXPANSION,扩张动量,0.45,提高承载能力并降低变化主导程度,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Grow,G2_FUNDING_GAP,扩张中的资金缺口,0.20,提高承载能力并降低变化主导程度,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Grow,G3_CAPACITY,财务承载能力,0.35,提高承载能力并降低变化主导程度,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Defend,F1_CURRENT_STRESS,当前财务压力,0.65,检验当前压力状态主导的风险排序,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Defend,F2_DETERIORATION,财务恶化动量,0.25,检验当前压力状态主导的风险排序,active,FIN_BASE_V1.0
STATIC_FOCUS,静态状态主导,Defend,F3_TRAJECTORY,风险轨迹,0.10,检验当前压力状态主导的风险排序,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,0.35,检验近期活动变化是否提供更强区分,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,0.20,检验近期活动变化是否提供更强区分,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,0.45,检验近期活动变化是否提供更强区分,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Grow,G1_EXPANSION,扩张动量,0.70,检验扩张变化主导的增长排序,active,FIN_BASE_V1.0
DYNAMIC_FOCUS,变化动量主导,Grow,G2_FUNDING_GAP,扩张中的资金缺口,0.20,检验扩张变化主导的增长排序,active,FIN_BASE_V1.0
