rule_id,dimension,block_id,block_name_cn,source_table,source_field,signal_name_cn,transformation,activation_condition,within_block_weight,critical_flag,minimum_block_coverage,missing_treatment,redundancy_group,reason_code,evidence_id,evidence_grade,rationale_cn,version
D-S01,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,02_financial_scale_labels_100k.csv,current_assets,流动资产规模,HIGH,current_assets_scale_eligible=True,0.20,false,0.60,exclude_and_reweight,OPERATING_ASSET_SCALE,HIGH_CURRENT_ASSET_SCALE,EV01,B,衡量经营资金体量和潜在现金管理复杂度,FIN_BASE_V1.0
D-S02,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,02_financial_scale_labels_100k.csv,fixed_assets,固定资产规模,HIGH,fixed_assets_scale_eligible=True,0.20,false,0.60,exclude_and_reweight,FIXED_ASSET_FOOTPRINT,HIGH_FIXED_ASSET_FOOTPRINT,EV01,B,反映资产融资和资本密集型服务相关规模,FIN_BASE_V1.0
D-S03,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,02_financial_scale_labels_100k.csv,total_assets_less_current_liabilities,总体资产基础,HIGH,total_assets_scale_eligible=True,0.25,true,0.60,exclude_and_reweight,OPERATING_ASSET_SCALE,HIGH_TOTAL_ASSET_SCALE,EV01,B,作为公司总体资产基础代理,FIN_BASE_V1.0
D-S04,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,02_financial_scale_labels_100k.csv,employees,员工规模,HIGH,employee_scale_eligible=True,0.20,false,0.60,exclude_and_reweight,OPERATING_COMPLEXITY,HIGH_EMPLOYEE_FOOTPRINT,EV01,B,反映运营支付和人员管理复杂度,FIN_BASE_V1.0
D-S05,Deepen,D1_SCALE_COMPLEXITY,规模与复杂度,02_financial_scale_labels_100k.csv,creditors_total,债权人负债规模,HIGH,creditors_scale_eligible=True,0.15,false,0.60,exclude_and_reweight,WORKING_CAPITAL_ACTIVITY,HIGH_CREDITOR_ACTIVITY_SCALE,EV04,B,只表示交易和营运资金活动规模而非风险,FIN_BASE_V1.0
D-P01,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,01_financial_status_labels_100k.csv,debtors_to_current_assets_ratio,应收账款强度,HIGH,receivables_intensity_eligible=True,0.30,false,0.60,exclude_and_reweight,RECEIVABLES_STRUCTURE,HIGH_RECEIVABLES_INTENSITY,EV06,B,反映应收管理和发票融资相关结构,FIN_BASE_V1.0
D-P02,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,01_financial_status_labels_100k.csv,creditors_to_disclosed_assets_ratio,债权人负债强度,HIGH,creditor_intensity_eligible=True,0.30,false,0.60,exclude_and_reweight,WORKING_CAPITAL_STRUCTURE,HIGH_CREDITOR_INTENSITY,EV04,B,反映供应链支付和营运资金复杂度,FIN_BASE_V1.0
D-P03,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,01_financial_status_labels_100k.csv,fixed_assets_to_disclosed_assets_ratio,固定资产强度,HIGH,asset_intensity_eligible=True,0.25,false,0.60,exclude_and_reweight,FIXED_ASSET_STRUCTURE,HIGH_FIXED_ASSET_INTENSITY,EV06,B,反映资产融资相关结构但不等于真实需求,FIN_BASE_V1.0
D-P04,Deepen,D2_PRODUCT_STRUCTURE,产品相关结构,01_financial_status_labels_100k.csv,employees_per_million_disclosed_assets,员工密集度,HIGH,employee_intensity_eligible=True,0.15,false,0.60,exclude_and_reweight,OPERATING_COMPLEXITY,HIGH_EMPLOYEE_INTENSITY,EV01,B,反映人员密集运营和支付服务相关性,FIN_BASE_V1.0
D-M01,Deepen,D3_ACTIVITY_MOMENTUM,业务活动动量,03_financial_change_labels.csv,employees_signed_log_change,员工增长,UP,employees_change_eligible=True,0.30,false,0.60,exclude_and_reweight,EMPLOYMENT_MOMENTUM,EMPLOYEE_EXPANSION,EV02,B,员工增长可表示运营复杂度上升,FIN_BASE_V1.0
